
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
msedgewebview2.exe           13708 Console                    3      1,228 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:01 N/A                                                                     
msedgewebview2.exe            4060 Console                    3         12 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe           19752 Console                    3         12 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:07 N/A                                                                     
Copilot.exe                  18464 Console                    3      7,276 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:07 .NET-BroadcastEventWindow.28f1359.0                                     
Cloudflare WARP.exe          19420 Console                    3     10,192 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:06 N/A                                                                     
ExpressVPNNotificationSer    14008 Console                    3      5,788 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:03 N/A                                                                     
FileCoAuth.exe               11520 Console                    3      2,800 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 OleMainThreadWndName                                                    
cmd.exe                       5468 Console                    3          8 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 C:\WINDOWS\system32\cmd.exe                                             
conhost.exe                  11912 Console                    3          8 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
ollama app.exe               14412 Console                    3        348 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
ollama.exe                    2520 Console                    3      6,992 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:02 C:\Users\bless\AppData\Local\Programs\Ollama\ollama.exe                 
conhost.exe                  17280 Console                    3          8 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
AppActions.exe               21920 Console                    3      3,920 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 OleMainThreadWndName                                                    
svchost.exe                  21184 Services                   0        704 K Unknown         N/A                                                     0:00:00 N/A                                                                     
DataExchangeHost.exe          1212 Console                    3        256 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
dllhost.exe                   5196 Console                    3        564 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 OleMainThreadWndName                                                    
dllhost.exe                   2304 Console                    3        580 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 OLEChannelWnd                                                           
cmd.exe                      19176 Console                    3          8 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
